name_ar,category,full_address,phone_number,website,rating,city_ar,region_ar,latitude,longitude,google_maps_url,plus_code,opening_times,opening_status,price_range
مجالات التميز للاستقدام,,"Dist, 2884 طريق الملك عبدالعزيز، المنتزه، سيهات‎ 32452",058 364 6339,,4.2,سيهات,المنطقة الشرقية,,,https://www.google.com/maps/place/%D9%85%D8%AC%D8%A7%D9%84%D8%A7%D8%AA+%D8%A7%D9%84%D8%AA%D9%85%D9%8A%D8%B2+%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D9%82%D8%AF%D8%A7%D9%85%E2%80%AD/data=!4m7!3m6!1s0x3e49ffe29a8f25dd:0xe4751a079d3d6c37!8m2!3d26.4921938!4d50.0373285!16s%2Fg%2F11yrhwp40y!19sChIJ3SWPmuL_ST4RN2w9nQcadeQ?authuser=0&hl=ar&rclk=1,,,,
Al Mutawa Group,,2698 - Al Khisab Dist SAYHAT - 32452 -7037، سيهات‎ 32452,013 856 1169,,4.3,سيهات,المنطقة الشرقية,,,https://www.google.com/maps/place/Al+Mutawa+Group/data=!4m7!3m6!1s0x3e49fe34f3d4de01:0xab56b7c0a13e8928!8m2!3d26.4888221!4d50.0354906!16s%2Fg%2F119wqbrbs!19sChIJAd7U8zT-ST4RKIk-ocC3Vqs?authuser=0&hl=ar&rclk=1,,,,
شركة التوكيلات لخدمات السيارات,,الشارع الخامس عشر، الصناعية، سيهات‎ 32471,054 550 8181,https://agenciescenter.com/,4.2,سيهات,المنطقة الشرقية,,,https://www.google.com/maps/place/%D8%B4%D8%B1%D9%83%D8%A9+%D8%A7%D9%84%D8%AA%D9%88%D9%83%D9%8A%D9%84%D8%A7%D8%AA+%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA+%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x3e3601de2f011a09:0xfe87ae7c5dc0d45d!8m2!3d26.4649429!4d50.0157089!16s%2Fg%2F11cltg6pzd!19sChIJCRoBL94BNj4RXdTAXXyuh_4?authuser=0&hl=ar&rclk=1,,,,
الشركة الوطنية المتحدة للألبان,,F2R5+233، سيهات‎ 32462,013 518 1600,,4.2,سيهات,المنطقة الشرقية,,,https://www.google.com/maps/place/%D8%A7%D9%84%D8%B4%D8%B1%D9%83%D8%A9+%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9+%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9+%D9%84%D9%84%D8%A3%D9%84%D8%A8%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3e36003016343385:0x7cb0744add8f2d5a!8m2!3d26.490022!4d50.0076815!16s%2Fg%2F11fzz72ww9!19sChIJhTM0FjAANj4RWi2P3Up0sHw?authuser=0&hl=ar&rclk=1,,,,
المصنع الوطني للمخابز والأغذية - المطرود,,سيهات‎ 32462,013 518 1600,,4.3,سيهات,المنطقة الشرقية,,,https://www.google.com/maps/place/%D8%A7%D9%84%D9%85%D8%B5%D9%86%D8%B9+%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A+%D9%84%D9%84%D9%85%D8%AE%D8%A7%D8%A8%D8%B2+%D9%88%D8%A7%D9%84%D8%A3%D8%BA%D8%B0%D9%8A%D8%A9+-+%D8%A7%D9%84%D9%85%D8%B7%D8%B1%D9%88%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3e3600303d9c26cf:0xf36dfaefcfbdfd1d!8m2!3d26.4902735!4d50.0078297!16s%2Fg%2F11bbsz38_5!19sChIJzyacPTAANj4RHf29z-_6bfM?authuser=0&hl=ar&rclk=1,,,,
الكوثر للمياه,,شركة الكوثر العذبة لتعبئة المياه، الصناعية، سيهات‎ 32471,054 183 2495,https://alkawther-ksa.com/,4.6,سيهات,المنطقة الشرقية,,,https://www.google.com/maps/place/%D8%A7%D9%84%D9%83%D9%88%D8%AB%D8%B1+%D9%84%D9%84%D9%85%D9%8A%D8%A7%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3e3601dcca334bdd:0xb1bf155dbfdeec7a!8m2!3d26.4637374!4d50.0093803!16s%2Fg%2F11ckky5627!19sChIJ3UszytwBNj4Reuzev10Vv7E?authuser=0&hl=ar&rclk=1,,,,
شركة اهرام الجزيرة التجارية,,طريق الظهران الجبيل السريع، الصناعية، سيهات‎ 32471,059 900 9170,,4.9,سيهات,المنطقة الشرقية,,,https://www.google.com/maps/place/%D8%B4%D8%B1%D9%83%D8%A9+%D8%A7%D9%87%D8%B1%D8%A7%D9%85+%D8%A7%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9+%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e36012f852ea401:0x2fca81bb0ecbdc82!8m2!3d26.4700648!4d50.0145253!16s%2Fg%2F11kbfppy43!19sChIJAaQuhS8BNj4RgtzLDruByi8?authuser=0&hl=ar&rclk=1,,,,
شركة مصنع المروج للمنظفات السائلة والمطهرات,,النابية، الصناعية، سيهات‎ 32471،، سيهات‎,050 835 1408,http://cadyclean.com/,5.0,سيهات,المنطقة الشرقية,,,https://www.google.com/maps/place/%D8%B4%D8%B1%D9%83%D8%A9+%D9%85%D8%B5%D9%86%D8%B9+%D8%A7%D9%84%D9%85%D8%B1%D9%88%D8%AC+%D9%84%D9%84%D9%85%D9%86%D8%B8%D9%81%D8%A7%D8%AA+%D8%A7%D9%84%D8%B3%D8%A7%D8%A6%D9%84%D8%A9+%D9%88%D8%A7%D9%84%D9%85%D8%B7%D9%87%D8%B1%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x3e3601b39164fe47:0xedd399ec85ceff1d!8m2!3d26.4638233!4d50.0072896!16s%2Fg%2F11g233mgvl!19sChIJR_5kkbMBNj4RHf_OheyZ0-0?authuser=0&hl=ar&rclk=1,,,,
شركة كشف تسربات المياه بدون تكسير,,5643 عمر بن عبد العزيز، الديرة، 8150، سيهات‎ 32461,055 886 4378 ext. 585,,5.0,سيهات,المنطقة الشرقية,,,https://www.google.com/maps/place/%D8%B4%D8%B1%D9%83%D8%A9+%D9%83%D8%B4%D9%81+%D8%AA%D8%B3%D8%B1%D8%A8%D8%A7%D8%AA+%D8%A7%D9%84%D9%85%D9%8A%D8%A7%D9%87+%D8%A8%D8%AF%D9%88%D9%86+%D8%AA%D9%83%D8%B3%D9%8A%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e49ff004fa2fdbb:0x8628ea182ac5bb79!8m2!3d26.4860381!4d50.0389943!16s%2Fg%2F11nqp3kgq4!19sChIJu_2iTwD_ST4RebvFKhjqKIY?authuser=0&hl=ar&rclk=1,,,,
شركة أساس الذهب العقاري,,شارع الملك فيصل بن عبدالعزيز، الطف، سيهات‎ 32463,054 988 8551,https://instagram.com/thegoldbase?igshid=MzRlODBiNWFlZA==,4.9,سيهات,المنطقة الشرقية,,,https://www.google.com/maps/place/%D8%B4%D8%B1%D9%83%D8%A9+%D8%A3%D8%B3%D8%A7%D8%B3+%D8%A7%D9%84%D8%B0%D9%87%D8%A8+%D8%A7%D9%84%D8%B9%D9%82%D8%A7%D8%B1%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e49ffc03978d595:0x6295dfd20055a762!8m2!3d26.4952572!4d50.0313231!16s%2Fg%2F11qn7wmg7w!19sChIJldV4OcD_ST4RYqdVANLflWI?authuser=0&hl=ar&rclk=1,,,,
شركة النجوم الشرقية فرع سيهات,,مجمع الحطيبي، المنتزه، سيهات‎ 32452,013 510 1590,https://www.njoomsa.com/,4.3,سيهات,المنطقة الشرقية,,,https://www.google.com/maps/place/%D8%B4%D8%B1%D9%83%D8%A9+%D8%A7%D9%84%D9%86%D8%AC%D9%88%D9%85+%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D8%A9+%D9%81%D8%B1%D8%B9+%D8%B3%D9%8A%D9%87%D8%A7%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x3e49ff59aa38f0ef:0x29e90f44f5adf0af!8m2!3d26.4813744!4d50.0463205!16s%2Fg%2F11nb5nh4pt!19sChIJ7_A4qln_ST4Rr_Ct9UQP6Sk?authuser=0&hl=ar&rclk=1,,,,
